peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
1,36,248612,1.36E+08,,,,,,,,,,313381,605057,526634,589811,636713,637788,635691,642022,628214,633358,620456,608945,616121,622137,610855,609739,620827,628929,609096,610322,557215,229706,216674,623140,634728,238654,589893
2,48,325327,1.13E+08,,,,,,,,,,391275,1138358,25152.06,25340.39,26252.07,26414.13,1313491,1272629,24455.56,26520.17,24232.89,22856.73,22621.46,27370.17,1225024,24518.09,26482.61,1186697,25785.3,364789,1148238,26998.93,24094.99,23196.01,1177632,24946.27,1106433
3,72,487115,1.79E+08,,,,,,,,,,563745,25077.2,23702.69,27005.06,24418.5,27211.97,24609.29,23368.19,24037.85,26967.98,921643,27251.6,22878.97,948001,26957.04,25138.53,917429,27463.01,24895.01,23240.32,23947.63,26441.59,23689.08,23416.01,24523.4,23407.55,25228.12
4,109,736425,1.99E+08,,,,,,,,,,662837,23998.4,25928.61,27459.88,26943.48,27396.01,25183.4,25716.61,25800.32,23418.08,26991.94,23923.93,26142.36,26132.14,50400,24062.21,25829.25,25565.43,63116,24852.38,23232.06,25656.12,23618.48,23336.6,64119,26257.97,23929.56
5,121,816646,1.48E+08,,,,,,,,,,716041,27273.19,27106.41,26047.33,25061.04,26167.16,26344.58,24313.18,24355.8,62186,58115,25190.52,22519.1,23973.88,25438.8,55967,24690.81,26694.96,23016.57,26785.78,22516.02,25766.27,23667.64,23537.01,26841.17,24842.03,25828.95
6,128,865686,1.41E+08,,,,,,,,,,832947,23096.61,26052.24,24314.47,59379,26495.98,59807,26478.21,26381.88,54618,26111.3,25118.3,25155.01,26126.73,61996,23468.09,27247.83,26317.58,25963.5,25331.56,25110.66,23191.01,26077.19,24510.91,24568.15,56936,25543.24
7,151,1017012,1.79E+08,,,,,,,,,,1240078,805372,915182,889725,456935,776512,777927,808740,793226,25433.03,816279,785607,763378,773232,755406,760397,772156,761232,738724,733287,827817,619150,763645,803540,546940,515335,592710
8,158,1063796,1.64E+08,,,,,,,,,,1222234,59433,23425.26,25274.48,51031,25447.3,23843.62,22926.98,27016.11,54134,26122.12,26890.8,615504,24657.7,56407,24526.16,59027,24739.38,26749.75,25163.73,24715.8,23419.11,25282.61,23128.37,27223.5,60522,22610.72
9,158,1063796,3.87E+08,,,,,,,,,,1056695,56141,24720.64,23065.95,54702,27321.71,55668,23908.55,23372.3,62288,60009,60631,56648,53064,52707,53038,57779,56680,54789,51694,25767.47,58478,59131,60210,52741,50978,23531.51
10,163,1101742,1.71E+08,,,,,,,,,,1105436,261592,426906,436280,270034,269324,267181,256859,247244,279799,258275,243768,249538,230871,237128,256998,246790,233639,234964,308037,281558,257089,266816,235559,259378,273965,255206
