clusterId,centrotype,cent.factor,nr of peaks in cluster,scan,retention,retentionMean,mass,max sample name,max value,QUANT_START,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,QUANT_END,mass list,(relative)intensity list
1,48,1.0,2,196,1318621,1294395,2.85908203E8,Qe05948,839876.6345131479,>>,509471.2720323282,839876.6345131479,708250.2175308135,701333.0022195461,691453.7419730802,645802.169193656,642582.9502811693,649966.6337590287,631763.469079554,623333.9088035182,613349.7980218217,591283.0027037523,582828.5527796603,568491.7368513686,558422.8110485072,557260.0213816827,529413.1159079152,543089.5772737,513369.7370979989,505725.5275038993,419709.0914213236,503858.966366325,500957.23043754045,485454.486401006,488077.58887849515,275411.50589829264,<<,2.07930923E8;2.85908203E8;,999.0;583.01;
3,98,1.0,6,218,1441407,1438999,3.90914886E8,Qe05971,2941343.1883676546,>>,2589632.651944209,2581563.9454153837,2777656.887316488,2532555.5077847317,2482753.88160132,2402128.6841165195,2540033.151967023,2625165.357800372,2434483.331950931,2343798.722542108,2485171.089816297,2438436.4341059914,2562841.067864909,2452795.5126471086,2594108.9514818196,2465219.7279174645,2533555.9832726335,2606824.258820481,2481138.4644675762,2697554.791784965,2564657.9788192087,2414090.6501865787,2148450.113379951,2941343.1883676546,2625996.029238488,2844143.943563477,<<,3.90914886E8;3.92912964E8;3.91916138E8;5.0689325E8;3.93914337E8;3.94912384E8;,999.0;590.01;484.14;291.68;168.39;92.42;
4,124,1.0,2,223,1459154,1470493,5.90848572E8,Qe05970,205114.6922498621,>>,152475.92642265005,89150.00641312393,162564.99807400635,157287.03326016208,158178.64571092706,90306.95458617264,151243.22824634422,90198.95942395202,85080.18872573566,94248.77800722537,172323.457749225,82312.31271622934,180030.0122955382,90218.95852806696,152286.05274407283,90827.93124836657,183073.5254635731,73309.71599889355,86624.11956340827,169405.9108015223,161456.23273609226,98358.59390284351,205114.6922498621,71926.77794934613,148973.10289697006,156425.20725630492,<<,5.90848572E8;7.05829285E8;,999.0;534.46;
7,284,1.0,41,236,1520025,1497725,5.01920227E8,Qe05949,1.7783970836749017E8,>>,1.723603121922431E8,1.7475896612264013E8,1.7783970836749017E8,1.6840963266632858E8,1.5737639231391823E8,1.5925497050606766E8,1.6609210228037474E8,1.6103214664730698E8,1.425380795897767E8,1.5962333608507523E8,1.6019323335181555E8,1.6693826331934163E8,1.5597248272394305E8,1.6593995532973856E8,1.7748278432903227E8,1.6558622408997968E8,1.5885823756544867E8,1.6787084834896207E8,1.5616432266396818E8,1.7546279908106193E8,1.671999889450024E8,1.6331894294405332E8,1.2660672786335069E8,1.6567388187326008E8,1.448270817717104E8,1.7776776712544706E8,<<,2.72958374E8;3.86938751E8;2.73959656E8;2.7495575E8;3.8893689E8;3.87939941E8;5.00918976E8;5.02917938E8;5.01920227E8;2.7595694E8;3.89937927E8;1.30983383E8;5.03918732E8;6.14898865E8;3.90935913E8;6.15900024E8;5.04920959E8;6.16898132E8;4.72924591E8;7.30878906E8;7.29880798E8;7.31879456E8;4.73925629E8;5.88903625E8;7.32878906E8;3.91937988E8;5.86904663E8;7.95858459E8;3.58943909E8;8.43861633E8;5.87905212E8;6.74388733E8;4.75923767E8;8.46858826E8;4.76921265E8;3.60942261E8;9.58839905E8;8.44359924E8;8.47856262E8;9.09339172E8;8.54845215E8;,999.0;307.79;300.85;277.89;144.33;136.12;99.11;66.56;60.54;49.13;44.87;33.29;29.39;20.04;18.31;17.3;14.9;14.51;10.91;9.82;7.31;7.16;4.59;4.46;4.2;3.65;3.56;3.25;2.84;2.59;2.32;2.29;1.97;1.91;1.59;1.44;1.31;1.19;0.88;0.82;0.61;
8,358,1.0,28,237,1524430,1517512,4.02916077E8,Qe05970,6.6054911685654595E7,>>,4.763148637026431E7,5.0148942448085E7,5.090786563723444E7,5.02507175235679E7,4.712664567220278E7,4.842846768956067E7,4.5048005886944965E7,4.924575969979563E7,4.1164921580030166E7,4.7507195682838015E7,4.811578113608916E7,4.4444105501005016E7,5.01419472391763E7,4.600908723740319E7,4.801138404725824E7,4.2261113412180066E7,5.0171274621829405E7,4.554552584800428E7,3.998430610258266E7,5.2174763913241595E7,5.116126759359306E7,4.940874091847968E7,6.6054911685654595E7,3.4169624886121824E7,4.074377710914012E7,4.944986673863877E7,<<,2.88935974E8;1.74955734E8;4.02916077E8;5.16896484E8;4.03917511E8;4.04914124E8;2.89936829E8;5.18894958E8;5.17897705E8;2.9093277E8;4.18893188E8;3.04913116E8;5.32874023E8;6.30876526E8;4.05915802E8;5.33874878E8;4.19894379E8;6.33876343E8;4.20890808E8;6.48852173E8;7.74801086E8;4.88901764E8;8.75815491E8;7.76807983E8;6.32376526E8;7.47356873E8;8.10835449E8;4.90898376E8;,999.0;893.43;759.24;268.73;254.8;246.59;158.22;150.93;138.75;134.33;108.4;71.87;69.95;53.2;46.91;27.08;21.74;19.28;18.7;11.55;11.34;8.22;7.48;7.19;5.33;5.16;4.42;4.31;
9,442,1.0,2,239,1533246,1509639,3.15964203E8,Qe05971,421159.1445314704,>>,379876.66501098435,186810.63158235638,193864.31560369223,282326.35283526254,293489.9536419469,312000.0588760947,325251.6022374283,333768.5139714166,316724.5656916262,344037.6223616055,330844.2309090413,344844.9497800944,318692.95354571333,384582.6467576269,373849.94215328107,378943.8928744697,376420.43750799313,408583.0825303505,356586.8610021415,210288.57985807856,381324.1832412004,342058.0321702973,323509.9248894352,421159.1445314704,388483.8107454338,276340.4713165269,<<,3.15964203E8;3.17961548E8;,999.0;235.06;
13,545,1.0,2,250,1582119,1556719,1.89931549E8,Qe05950,359191.73798869166,>>,251080.6599128218,278952.5359432885,354541.812716685,359191.73798869166,305158.3889676947,309896.4250658257,347306.46471411147,354336.05568979244,284499.59047901694,304860.15527061257,267771.2556434588,226913.04512646995,328558.36310032196,174555.68240652586,251040.7652098674,158362.52976035848,244274.9581605217,225632.37014786326,137712.71429630116,175213.71315816062,238685.45501551797,166844.56544602002,116953.87027662108,135798.44301881822,117889.77911692271,269766.6053724303,<<,3.03911804E8;1.89931549E8;,999.0;356.5;
14,591,1.0,22,252,1594559,1587196,4.58022491E8,Qe05966,6756977.513264248,>>,2472790.363527603,2934927.5589620913,1001213.6189743534,622617.530405683,4840107.129067761,3903133.528798537,1398466.160511744,642664.6176899029,6031886.728716193,5098459.765428523,2495751.1344367513,1320755.5018503224,699467.4306081855,885098.8982649329,727216.0092529694,3532981.2917936663,701039.1432069857,813462.6499301967,6756977.513264248,5459267.699412694,599248.0865144236,5579366.812941552,1370970.1873484002,1272686.191687377,1008966.348596671,2675653.4256723905,<<,2.59078094E8;3.43040253E8;2.60080017E8;5.4097644E8;2.61075317E8;2.1613504E8;4.57020721E8;2.02119583E8;3.44041534E8;3.45037537E8;2.32129776E8;2.22036865E8;5.42978943E8;6.54958008E8;2.30125427E8;5.41983154E8;4.58022491E8;4.59018494E8;6.56959717E8;4.72996246E8;6.26940857E8;6.55961792E8;,999.0;341.28;196.87;141.3;121.48;118.48;83.15;79.02;76.6;73.69;71.6;69.13;64.53;61.11;60.24;51.68;45.92;45.55;38.92;38.74;35.85;33.4;
15,710,1.0,67,257,1617253,1609965,6.11802917E8,Qe05971,6.6682547341268644E7,>>,5.8618986424941055E7,6.240057380581938E7,6.4708920739243075E7,5.767097568941073E7,5.021093572728238E7,4.920359389812794E7,6.1487745123534486E7,5.462201645627388E7,3.6887704430693075E7,4.469265918643533E7,4.963209470829133E7,5.920249391972489E7,5.216282444196412E7,5.565249094289768E7,6.381976281348443E7,5.574309130429123E7,4.7522870742780246E7,5.746754141611146E7,4.584537296321726E7,5.146177191991992E7,5.741091735057324E7,4.093029660305684E7,5.0879623299120866E7,6.6682547341268644E7,6.0317870309082136E7,6.222400790015402E7,<<,2.42939484E8;3.26900818E8;4.10862183E8;4.40881165E8;4.12860321E8;3.28898499E8;4.42879272E8;2.44936844E8;5.24842529E8;4.41882629E8;4.118638E8;2.43940857E8;3.27902344E8;5.54861572E8;6.0880365E8;5.26840576E8;5.56857849E8;6.10801636E8;6.92764954E8;5.55862732E8;5.25843811E8;6.38822815E8;4.43880432E8;6.94763062E8;4.13862305E8;6.40820251E8;4.14858459E8;6.09805054E8;7.76726868E8;7.22784119E8;4.44879761E8;7.24781921E8;6.39824219E8;3.29900879E8;7.7872467E8;5.27841736E8;6.93766357E8;5.57857971E8;3.30896515E8;8.60689331E8;6.11802917E8;8.62685608E8;8.06746155E8;8.08744507E8;7.23785217E8;7.52803223E8;6.12796143E8;6.41820862E8;5.28842529E8;6.96757507E8;7.77727478E8;6.95764771E8;8.92707092E8;9.466474E8;8.90708435E8;9.4465033E8;7.25783447E8;8.07746643E8;5.58851379E8;7.26779114E8;6.42812866E8;8.61689148E8;7.79726135E8;8.38765625E8;8.09745667E8;8.36765808E8;8.63685669E8;,999.0;902.15;867.88;534.47;329.36;257.55;245.95;202.3;181.33;176.83;168.79;157.15;155.23;128.41;123.76;101.72;79.32;74.68;69.12;66.4;61.71;61.15;54.83;48.88;47.53;45.18;45.07;43.34;37.69;35.04;33.02;30.7;29.57;29.57;26.66;26.14;25.18;24.43;22.98;22.03;20.24;19.88;19.42;19.38;18.45;15.69;15.42;15.35;14.98;14.85;14.54;13.27;12.11;11.43;11.17;11.04;10.51;9.79;9.4;8.47;8.28;8.18;7.82;7.64;7.19;7.06;6.41;
18,798,0.98701,10,262,1640000,1625827,5.11964111E8,Qe05966,4031157.6791266836,>>,1568009.4242716257,1518051.1249071779,373761.12482619175,304827.0829080852,2806407.5163543294,2247678.3896107106,648971.4480587723,327377.3842455538,3507124.237729028,2939587.0864501735,1501714.096488631,552534.6766901758,352235.39700135053,461058.13952650805,298790.04011250933,2128372.206229726,363912.43614620995,446153.03338512935,4031157.6791266836,3070544.2096480886,341405.71307723684,3396962.218355531,800111.9291785406,569644.9145607543,563418.4095672981,1425527.0115106388,<<,1.45097931E8;5.10962646E8;1.46101227E8;5.12960571E8;2.60135742E8;4.28003448E8;5.11964111E8;5.96921753E8;6.80883057E8;7.08897888E8;,999.0;173.16;71.82;71.38;67.72;51.5;49.11;42.72;36.87;35.79;
