peak-aif,Scan Nr,retention,Mass(uD),retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,clusterId1,membership1
1,56,380753,122894112,365309,5462.94,19633,16149,5457.54,4838.52,5301.04,4975.66,5298.75,4542.75,5443.34,5184.22,4732.45,4992.15,4971.87,4858.01,5330.87,4949.24,4503.74,5450.62,13492,4763.13,4565.78,4931.71,4908.11,4658.18,4825.98,,
2,89,601230,292903870,483584,5344.22,5423.3,4867.92,5488.17,5224.06,4918.78,4715.8,4813.62,4714.75,5298.25,77120,35673,4600.5,5431.03,4597.67,5014.06,5149.77,4671.05,5191.45,5177.6,4727.89,20050,166732,137568,5325.93,5013.84,,
3,137,921701,275893097,1244423,103110,99771,86529,86269,86241,85019,86275,66267,4663.16,89766,86439,85497,96949,86807,79244,85300,60034,84924,88185,5337.59,4694.55,86536,86106,58744,88977,111993,,
4,156,1052797,99925537,1170028,5442.46,4884.77,613249,5137.38,5041.93,4671.38,5234.31,5195.8,5368.56,4744.06,4929.31,379017,5107.36,287077,275843,4569.52,296748,261054,4898.48,416194,332387,278798,282421,4947.23,5371.01,359976,,
5,167,1131080,292903839,1215350,135653,168145,174555,130645,126374,129955,128666,132288,129770,127284,138883,153169,127815,126782,123838,144426,126431,126645,126480,164873,128767,127313,113878,127024,126693,173362,,
6,170,1151099,226877213,1279157,70016,73108,4794.63,76695,73198,75899,73190,73823,68417,68471,70150,70052,69248,67797,67986,67527,68805,66191,63094,64210,62924,66454,66776,61946,63116,57468,,
7,171,1157690,160918060,1193365,15752,4631.64,5182.27,13972,13601,5100.01,12336,5135.52,16361,5118.27,14313,13550,14220,5497.27,5056.21,5180.56,4509.88,16301,5306.35,4952.3,4518.09,16945,5476.29,5344.83,5465.67,5482.51,,
8,172,1164384,279856506,1277304,5094.68,91602,75902,5005.18,60557,57691,61128,56008,58061,4944.55,58162,55950,57953,55783,56405,54945,55520,54572,52183,60887,52802,51307,5106.52,49374,4672.47,56159,,
9,174,1177822,274893555,1014488,5407.88,945345,938250,565428,814025,565685,698924,898380,674368,587493,636618,573171,565528,557136,687257,959655,587620,5438.36,4534.21,734412,649546,554094,551082,548781,558351,732336,,
10,175,1184663,154947403,1268312,165901,181688,197437,169042,176962,170351,168051,170936,166175,166323,170193,162851,165484,4542.83,162321,166765,160695,155302,162726,187347,158392,164875,164025,162758,159564,189176,,
11,175,1184663,166959579,1272943,66536,75896,71917,66212,68191,68054,64859,59024,64547,64466,64964,64809,62440,61642,62088,65093,64311,63553,68929,74801,59907,4634.38,4890.11,58172,59912,68433,,
12,175,1184663,184876465,1269607,84885,108023,87548,91991,89892,90750,86059,86542,59956,85051,4794.09,88400,4555.96,84623,81897,87026,4975.81,84273,81586,83048,79097,79190,75275,71385,21580,73898,,
13,175,1184663,215927048,1245980,4775.61,5011.34,66091,58505,5360.57,4802.22,5403.76,4739.32,4922.89,4966.91,5416.37,4551.31,55417,53271,5456.04,5092.44,52459,52654,58986,69445,54300,54575,52469,5462.59,5034.03,62350,,
14,177,1191272,92927681,1196125,65787,5188.57,74282,5414.91,60728,56852,58088,5008.93,4899.64,63623,61748,61987,5492.18,61012,5211.21,62670,4649.3,62082,60487,86429,5350.07,62437,62384,4630.82,4744.69,81586,,
