clusterId1,centrotype,cent.factor,nr of peaks in cluster,chosen peak#,Scan Nr,retention,retentionMean,Mass(uD),membership1,simIsShared,sim ranking of peak,max sample name,max value,QUANT_START,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,QUANT_END,mass list,(relative)intensity list
1,48,1,2,55,198,1332134,1290107,207930923,0.971702,FALSE,1,Qe05948,479848,>>,302960,479848,423372,413339,402746,375126,378395,380872,374359,364376,364148,346904,342580,341676,331390,327385,315463,323353,301734,300444,262690,301564,298834,286462,286525,283432,<<,2.07930923E8;2.85908203E8;,999.0;583.01;
3,98,1,6,98,218,1441407,1438999,390914886,0.999955,FALSE,1,Qe05971,1021522,>>,915375,905013,976933,871667,889341,860299,883462,947437,849379,813581,870179,869829,894636,874260,887840,852153,891059,905928,869555,947127,914609,840501,760212,1021522,934914,1015059,<<,3.90914886E8;3.92912964E8;3.91916138E8;5.0689325E8;3.93914337E8;3.94912384E8;,999.0;590.01;484.14;291.68;168.39;92.42;
4,124,1,2,124,223,1459154,1470493,590848572,0.999955,FALSE,1,Qe05970,119449,>>,92169,89154,102468,98103,100572,90311,100159,90203,85084,94253,101087,82316,115000,90223,99834,90832,111825,73313,86628,99292,103369,98363,119449,71930,96017,103064,<<,5.90848572E8;7.05829285E8;,999.0;534.46;
7,284,1,41,438,239,1533246,1524329,272958374,0.954422,FALSE,1,Qe05967,6.63E+07,>>,6.33E+07,6.58E+07,6.56E+07,6.18E+07,5.99E+07,6.02E+07,6.12E+07,5.93E+07,5.49E+07,6.10E+07,5.95E+07,6.05E+07,5.71E+07,6.05E+07,6.43E+07,6.15E+07,5.80E+07,6.10E+07,5.99E+07,6.63E+07,6.03E+07,6.11E+07,4.94E+07,5.93E+07,5.36E+07,6.46E+07,<<,2.72958374E8;3.86938751E8;2.73959656E8;2.7495575E8;3.8893689E8;3.87939941E8;5.00918976E8;5.02917938E8;5.01920227E8;2.7595694E8;3.89937927E8;1.30983383E8;5.03918732E8;6.14898865E8;3.90935913E8;6.15900024E8;5.04920959E8;6.16898132E8;4.72924591E8;7.30878906E8;7.29880798E8;7.31879456E8;4.73925629E8;5.88903625E8;7.32878906E8;3.91937988E8;5.86904663E8;7.95858459E8;3.58943909E8;8.43861633E8;5.87905212E8;6.74388733E8;4.75923767E8;8.46858826E8;4.76921265E8;3.60942261E8;9.58839905E8;8.44359924E8;8.47856262E8;9.09339172E8;8.54845215E8;,999.0;307.79;300.85;277.89;144.33;136.12;99.11;66.56;60.54;49.13;44.87;33.29;29.39;20.04;18.31;17.3;14.9;14.51;10.91;9.82;7.31;7.16;4.59;4.46;4.2;3.65;3.56;3.25;2.84;2.59;2.32;2.29;1.97;1.91;1.59;1.44;1.31;1.19;0.88;0.82;0.61;
8,358,1,28,457,240,1537667,1527986,288935974,0.990787,FALSE,1,Qe05970,1.36E+07,>>,9571335,1.06E+07,1.03E+07,1.02E+07,9966493,1.02E+07,9298339,1.01E+07,9050788,9873046,9942243,9001307,1.02E+07,9314450,9485205,8978990,1.01E+07,9155890,8710899,1.08E+07,1.01E+07,1.03E+07,1.36E+07,7036315,8507297,1.01E+07,<<,2.88935974E8;1.74955734E8;4.02916077E8;5.16896484E8;4.03917511E8;4.04914124E8;2.89936829E8;5.18894958E8;5.17897705E8;2.9093277E8;4.18893188E8;3.04913116E8;5.32874023E8;6.30876526E8;4.05915802E8;5.33874878E8;4.19894379E8;6.33876343E8;4.20890808E8;6.48852173E8;7.74801086E8;4.88901764E8;8.75815491E8;7.76807983E8;6.32376526E8;7.47356873E8;8.10835449E8;4.90898376E8;,999.0;893.43;759.24;268.73;254.8;246.59;158.22;150.93;138.75;134.33;108.4;71.87;69.95;53.2;46.91;27.08;21.74;19.28;18.7;11.55;11.34;8.22;7.48;7.19;5.33;5.16;4.42;4.31;
9,442,1,2,442,239,1533246,1509639,315964203,0.999955,FALSE,1,Qe05971,325619,>>,294763,186819,193873,282339,239603,257907,255948,263213,247611,268521,258671,269409,255259,304832,294536,300728,303166,318002,282531,210298,292273,272932,256978,325619,298203,227084,<<,3.15964203E8;3.17961548E8;,999.0;235.06;
13,545,1,2,484,246,1564267,1548074,303911804,0.964854,FALSE,1,Qe05954,262321,>>,194007,210726,260305,258364,229328,225532,258273,262321,200775,228224,198128,173259,237418,180914,197736,164131,178823,170545,142729,181596,188388,172922,121214,140745,122184,207716,<<,3.03911804E8;1.89931549E8;,999.0;356.5;
14,591,1,22,528,249,1577636,1569938,259078094,0.9877,FALSE,1,Qe05966,2324104,>>,958276,1142635,482447,327309,1718759,1411931,690514,385055,2254319,1821730,1063516,609185,377146,486938,343862,1269586,417346,435775,2324104,1901159,334124,1972884,656315,613671,524741,1036017,<<,2.59078094E8;3.43040253E8;2.60080017E8;5.4097644E8;2.61075317E8;2.1613504E8;4.57020721E8;2.02119583E8;3.44041534E8;3.45037537E8;2.32129776E8;2.22036865E8;5.42978943E8;6.54958008E8;2.30125427E8;5.41983154E8;4.58022491E8;4.59018494E8;6.56959717E8;4.72996246E8;6.26940857E8;6.55961792E8;,999.0;341.28;196.87;141.3;121.48;118.48;83.15;79.02;76.6;73.69;71.6;69.13;64.53;61.11;60.24;51.68;45.92;45.55;38.92;38.74;35.85;33.4;
15,710,1,67,694,257,1617253,1605479,242939484,0.968016,FALSE,1,Qe05948,1.04E+07,>>,8976227,1.04E+07,1.02E+07,9063733,8846095,8473649,9710783,8540901,7151834,8228771,8319420,9278471,8245673,8723142,9154207,8707570,7541427,8699590,7926169,8455965,8835973,7426740,7953614,9547868,8828153,9440325,<<,2.42939484E8;3.26900818E8;4.10862183E8;4.40881165E8;4.12860321E8;3.28898499E8;4.42879272E8;2.44936844E8;5.24842529E8;4.41882629E8;4.118638E8;2.43940857E8;3.27902344E8;5.54861572E8;6.0880365E8;5.26840576E8;5.56857849E8;6.10801636E8;6.92764954E8;5.55862732E8;5.25843811E8;6.38822815E8;4.43880432E8;6.94763062E8;4.13862305E8;6.40820251E8;4.14858459E8;6.09805054E8;7.76726868E8;7.22784119E8;4.44879761E8;7.24781921E8;6.39824219E8;3.29900879E8;7.7872467E8;5.27841736E8;6.93766357E8;5.57857971E8;3.30896515E8;8.60689331E8;6.11802917E8;8.62685608E8;8.06746155E8;8.08744507E8;7.23785217E8;7.52803223E8;6.12796143E8;6.41820862E8;5.28842529E8;6.96757507E8;7.77727478E8;6.95764771E8;8.92707092E8;9.466474E8;8.90708435E8;9.4465033E8;7.25783447E8;8.07746643E8;5.58851379E8;7.26779114E8;6.42812866E8;8.61689148E8;7.79726135E8;8.38765625E8;8.09745667E8;8.36765808E8;8.63685669E8;,999.0;902.15;867.88;534.47;329.36;257.55;245.95;202.3;181.33;176.83;168.79;157.15;155.23;128.41;123.76;101.72;79.32;74.68;69.12;66.4;61.71;61.15;54.83;48.88;47.53;45.18;45.07;43.34;37.69;35.04;33.02;30.7;29.57;29.57;26.66;26.14;25.18;24.43;22.98;22.03;20.24;19.88;19.42;19.38;18.45;15.69;15.42;15.35;14.98;14.85;14.54;13.27;12.11;11.43;11.17;11.04;10.51;9.79;9.4;8.47;8.28;8.18;7.82;7.64;7.19;7.06;6.41;
18,798,0.98701,10,833,265,1649086,1641600,145097931,0.968406,FALSE,1,Qe05966,2542975,>>,1014386,982814,385955,314772,1744920,1347752,670144,338058,2259168,1820370,1038176,570561,363727,416531,308538,1290265,375785,407119,2542975,1834350,352544,2169082,606289,536523,458939,936115,<<,1.45097931E8;5.10962646E8;1.46101227E8;5.12960571E8;2.60135742E8;4.28003448E8;5.11964111E8;5.96921753E8;6.80883057E8;7.08897888E8;,999.0;173.16;71.82;71.38;67.72;51.5;49.11;42.72;36.87;35.79;
